TRAINING_STARTED 2025-08-14 13:57:00
STEP 1 EPOCH 0.00
STEP 2 EPOCH 0.00
STEP 3 EPOCH 0.01
STEP 4 EPOCH 0.01
STEP 5 EPOCH 0.01
STEP 6 EPOCH 0.01
STEP 7 EPOCH 0.01
STEP 8 EPOCH 0.01
STEP 9 EPOCH 0.02
STEP 10 EPOCH 0.02
LOG loss=0.594, grad_norm=20.915224075317383, learning_rate=1.153846153846154e-06, epoch=0.017094017094017096
STEP 11 EPOCH 0.02
STEP 12 EPOCH 0.02
STEP 13 EPOCH 0.02
STEP 14 EPOCH 0.02
STEP 15 EPOCH 0.03
STEP 16 EPOCH 0.03
STEP 17 EPOCH 0.03
STEP 18 EPOCH 0.03
STEP 19 EPOCH 0.03
STEP 20 EPOCH 0.03
LOG loss=0.311, grad_norm=2.2343945503234863, learning_rate=2.435897435897436e-06, epoch=0.03418803418803419
STEP 21 EPOCH 0.04
STEP 22 EPOCH 0.04
STEP 23 EPOCH 0.04
STEP 24 EPOCH 0.04
STEP 25 EPOCH 0.04
STEP 26 EPOCH 0.04
STEP 27 EPOCH 0.05
STEP 28 EPOCH 0.05
STEP 29 EPOCH 0.05
STEP 30 EPOCH 0.05
LOG loss=0.3469, grad_norm=20.267366409301758, learning_rate=3.717948717948718e-06, epoch=0.05128205128205128
STEP 31 EPOCH 0.05
STEP 32 EPOCH 0.05
STEP 33 EPOCH 0.06
STEP 34 EPOCH 0.06
STEP 35 EPOCH 0.06
STEP 36 EPOCH 0.06
STEP 37 EPOCH 0.06
STEP 38 EPOCH 0.06
STEP 39 EPOCH 0.07
STEP 40 EPOCH 0.07
LOG loss=0.2531, grad_norm=5.591670989990234, learning_rate=4.9999999999999996e-06, epoch=0.06837606837606838
STEP 41 EPOCH 0.07
STEP 42 EPOCH 0.07
STEP 43 EPOCH 0.07
STEP 44 EPOCH 0.08
STEP 45 EPOCH 0.08
STEP 46 EPOCH 0.08
STEP 47 EPOCH 0.08
STEP 48 EPOCH 0.08
STEP 49 EPOCH 0.08
STEP 50 EPOCH 0.09
